549,535,6558,1
832,347,2780,2
549,843,3551,3
123,321,9241,4
321,535,2422,5
543,347,7772,6
321,321,8728,7
549,939,1997,8
832,963,1375,9
549,765,2949,10
549,468,1771,11
365,468,1862,12
543,765,4367,13
667,232,5066,14
111,468,8084,15
543,232,3458,16
653,535,4163,17
365,535,9027,18
549,535,7027,19
123,232,1096,20
123,347,8450,21
549,347,1133,22
543,939,6603,23
653,939,2843,24
832,843,6388,25
667,765,6048,26
543,939,6821,27
123,321,3672,28
543,347,6937,29
111,843,6191,30
321,347,3920,31
111,843,1203,32
653,232,8947,33
123,321,9089,34
365,347,2566,35
321,321,3828,36
543,321,1560,37
667,321,7480,38
653,843,4115,39
667,843,5253,40
832,347,4714,41
543,765,8742,42
543,535,7928,43
123,232,1369,44
321,939,3894,45
543,535,3044,46
365,765,1642,47
321,468,4637,48
123,232,6591,49
667,843,7272,50
667,535,1194,51
111,347,9453,52
111,321,5491,53
543,939,7068,54
365,939,7749,55
111,468,5784,56
832,939,1320,57
321,535,3960,58
653,347,1095,59
543,347,3411,60
653,347,7569,61
123,963,7012,62
111,321,1359,63
365,765,4402,64
832,963,1322,65
543,939,5268,66
667,939,9430,67
123,321,4960,68
123,321,8979,69
321,347,3470,70
549,535,4379,71
653,321,8834,72
549,468,3259,73
653,468,8418,74
123,765,6391,75
549,843,9116,76
832,347,5320,77
111,843,3351,78
549,939,3705,79
543,468,7652,80
111,535,6918,81
667,468,3696,82
365,963,5153,83
321,963,8546,84
111,963,8213,85
667,535,4941,86
321,765,9839,87
653,321,6141,88
111,468,2732,89
111,468,5989,90
111,232,2532,91
653,321,2554,92
123,347,6878,93
365,535,4180,94
832,347,5836,95
123,347,9779,96
653,468,9713,97
549,347,9961,98
543,347,1765,99
321,321,1814,100
365,232,8208,101
832,321,9791,102
832,468,4588,103
653,535,5944,104
653,232,1177,105
543,468,1880,106
543,765,3115,107
321,535,5903,108
123,765,1310,109
365,232,4915,110
549,765,9701,111
543,321,5202,112
365,963,7180,113
653,939,3615,114
667,843,1785,115
653,321,9031,116
667,321,2787,117
653,347,8093,118
653,468,6555,119
653,843,1290,120
832,321,9144,121
111,468,7276,122
123,347,5415,123
123,468,1115,124
653,347,5636,125
667,765,2387,126
832,468,8904,127
549,535,5655,128
111,963,4557,129
543,535,6058,130
321,939,5328,131
653,765,7672,132
549,347,9425,133
549,963,9364,134
123,963,3966,135
365,232,4887,136
653,232,7471,137
667,843,7754,138
321,535,7506,139
365,765,7726,140
543,843,6837,141
365,963,4231,142
832,939,8873,143
543,347,8717,144
549,963,3012,145
549,468,4181,146
321,535,4689,147
321,843,1001,148
111,232,8281,149
123,939,2059,150
321,843,9295,151
111,939,7366,152
123,843,9659,153
321,347,6513,154
111,939,6396,155
